listing_id,role_bucket,title,company,location,sources,source_urls,posted_at,fetched_at,certifications,yoe_min,yoe_max,degree,clearance,salary_min,salary_max,schedule_signals,technical_skills,seniority_signal,remote_arrangement,llm_used
95f74fca0816d18a,help_desk_it_admin,IT Support Specialist,North Shore Steel,"Houston, TX, US",indeed,https://www.indeed.com/viewjob?jk=bb52f7e0810b2d82|https://www.indeed.com/viewjob?jk=ff29fcde983f53b3,2026-06-08,2026-06-09T20:41:24Z,A+,2,,associate,,,,,Active Directory|Office 365 / M365,entry,unspecified,False
4a6fcd9f62ddbee9,help_desk_it_admin,Service Desk / Client Support - IT Service Desk Associate,American National Insurance,"League City, TX, US",indeed,https://www.indeed.com/viewjob?jk=583eda28d1ff227e,2026-06-08,2026-06-09T20:41:24Z,ITIL,,,associate,,,,,,entry,unspecified,False
e2c8704cd2997427,help_desk_it_admin,Service Desk Technician,GovCIO,"Kiln, MS, US",indeed,https://www.indeed.com/viewjob?jk=5ac354df0085a27a,2026-06-08,2026-06-09T20:41:24Z,ITIL|MCSA,2,,high_school,public_trust,,,,Office 365 / M365,entry,unspecified,False
d654ead716c1e3c7,help_desk_it_admin,Help Desk Technician,Chesapeake Containment,"Greensboro, NC, US",indeed,https://www.indeed.com/viewjob?jk=e4d7cf3754abd8a0,2026-06-08,2026-06-09T20:41:24Z,A+,,,,,,,,,entry,unspecified,False
85882240a71331ae,help_desk_it_admin,Help Desk Technician,Chesapeake Containment,"Hickory, NC, US",indeed,https://www.indeed.com/viewjob?jk=c0ae45a93eab3229,2026-06-08,2026-06-09T20:41:24Z,A+,,,,,,,,,entry,unspecified,False
3b410726fdb19dbd,help_desk_it_admin,Helpdesk Technician I,Advanced Composites,"Sidney, OH, US",indeed,https://www.indeed.com/viewjob?jk=928874951fc0e438,2026-06-08,2026-06-09T20:41:24Z,,,,associate,,,,,,entry,unspecified,False
056afb6967a7f987,help_desk_it_admin,IT Support Specialist,HCA Houston Healthcare,"Houston, TX, US",indeed,https://www.indeed.com/viewjob?jk=80083baf9c59efce,2026-06-08,2026-06-09T20:41:24Z,Network+|A+|ITIL,1,2,associate,,,,24x7,Active Directory|TCP/IP|Ticketing (ServiceNow/Jira)|Office 365 / M365,entry,unspecified,False
c4ddf578778a07c6,help_desk_it_admin,IT Help Desk Technician,"Bibiyan Law Group, P.C.","Los Angeles, CA, US",indeed,https://www.indeed.com/viewjob?jk=e5eb97f39ebed9fe,2026-06-08,2026-06-09T20:41:24Z,A+,,,associate,,,,,Active Directory|TCP/IP|Office 365 / M365,entry,unspecified,False
e4a8504775747811,help_desk_it_admin,Service Desk Technician I,IBC Bank,"San Antonio, TX, US",indeed,https://www.indeed.com/viewjob?jk=dccbd842087a4082,2026-06-08,2026-06-09T20:41:24Z,,,,bachelor,,,,,,entry,unspecified,False
0dc5ac29c5c5420a,help_desk_it_admin,Help Desk Technician- HDTECH # WIR,NavitasPartners,"Milwaukee, WI, US",indeed,https://www.indeed.com/viewjob?jk=1b77376fb1bdd76b,2026-06-08,2026-06-09T20:41:24Z,A+|ITIL,,,associate,,,,,Office 365 / M365,entry,unspecified,False
abc3a4882e57a944,help_desk_it_admin,Help Desk Technician- HDTECH # WIR,NavitasPartners,"West Allis, WI, US",indeed,https://www.indeed.com/viewjob?jk=32efc041020086dc,2026-06-08,2026-06-09T20:41:24Z,A+|ITIL,,,associate,,,,,Office 365 / M365,entry,unspecified,False
f49fcba67204692d,help_desk_it_admin,Help Desk Technician- HDTECH # WIR,NavitasPartners,"Greenfield, WI, US",indeed,https://www.indeed.com/viewjob?jk=3dfade76bae71590,2026-06-08,2026-06-09T20:41:24Z,A+|ITIL,,,associate,,,,,Office 365 / M365,entry,unspecified,False
6ecffb7c5c396cc5,help_desk_it_admin,Help Desk Technician- HDTECH # WIR,NavitasPartners,"Wauwatosa, WI, US",indeed,https://www.indeed.com/viewjob?jk=045d2e6f869aeca1,2026-06-08,2026-06-09T20:41:24Z,A+|ITIL,,,associate,,,,,Office 365 / M365,entry,unspecified,False
5f2dd1096ca974a8,help_desk_it_admin,Technical Support Engineer (East Coast Hours),Tyson & Mendes,"Jersey City, NJ, US",indeed,https://www.indeed.com/viewjob?jk=c2d3d9b8f8e74d19,2026-06-08,2026-06-09T20:41:24Z,A+|ITIL,,,,,,,,Ticketing (ServiceNow/Jira)|Office 365 / M365,entry,unspecified,False
564b6c5956ca805e,help_desk_it_admin,Technical Support Engineer (East Coast Hours),Tyson & Mendes,"New York, NY, US",indeed,https://www.indeed.com/viewjob?jk=94a1c20fe3657f6c,2026-06-08,2026-06-09T20:41:24Z,A+|ITIL,,,,,,,,Ticketing (ServiceNow/Jira)|Office 365 / M365,entry,unspecified,False
15e71891ac18cc4b,help_desk_it_admin,IT Support Tech L1,Guardian Tax,"Chandler, AZ, US",indeed,https://www.indeed.com/viewjob?jk=bdf25a73cf2dd688,2026-06-01,2026-06-09T20:41:24Z,,,,,,18,23,,PowerShell|Python|Bash,entry,unspecified,False
67df309188a780fe,help_desk_it_admin,IT Support Specialist,The City of Easley,"Easley, SC, US",indeed,https://www.indeed.com/viewjob?jk=3fdbdf01a7959cab,2026-06-09,2026-06-09T20:41:24Z,,,,,,,,,,unclear,unspecified,False
07cdb7955e61888a,help_desk_it_admin,Tech Geek / IT Helpdesk / Customer Service,BASG,"Miami, FL, US",indeed,https://www.indeed.com/viewjob?jk=ee2bf1e166da8492,2026-06-09,2026-06-09T20:41:24Z,,,,,,,,,,unclear,unspecified,False
2c4e0565135a9055,help_desk_it_admin,Technical Support Specialist,"CAI (Computer Aid, Inc.)","San Diego, CA, US",indeed,https://www.indeed.com/viewjob?jk=92e7e15bf05bb1a9,2026-06-09,2026-06-09T20:41:24Z,,,,,,,,,,unclear,unspecified,False
